Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,GR_Full,tdeb_flat,tdebShift_flat,ChipRow,GR_end,tdeb_GR,tdebShift_GR,GrowthAtStart_GR,fit_name,tdeb,tdebShift,Tau,A0fit,fitR2,Expe
PPG3,0,0.0,0.333699594,272.7729120830997,279.84237077612545,311.0,387.0,0.0003801701442882237,50.000004963254455,0.0,15.0,0.48904426756497676,95.0,1.0,0.016996580225729942,ExpDel,50.000004963254455,0.0,2957.17210377568,0.33397998660051786,0.998,230301_ABA_P2
PPG3,1,30.0,0.3375271752,273.5234091552449,278.9093803472699,314.0,390.0,0.0003541912209974566,,,,,,,,,,,,,,230301_ABA_P2
PPG3,2,60.0,0.3411327039999999,275.0012653208971,278.2946633715224,316.0,389.6275422740973,0.00031423672035384566,,,,,,,,,,,,,,230301_ABA_P2
PPG3,3,90.0,0.3443637545999999,276.9571426074082,276.6581106974496,319.0,389.0,0.00030985821315207616,,,,,,,,,,,,,,230301_ABA_P2
PPG3,4,120.0,0.3475797508,275.7127503963605,274.5687123589461,321.0,392.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG5,0,0.0,0.4039867058,286.1562799321962,288.4743944200081,328.0,398.5661469579591,0.00025598749024180576,50.0000000001,0.0,14.0,0.2862741015784127,95.0,1.0,0.010187906708092824,ExpDel,50.0000000001,0.0,4880.787456852354,0.404353271979115,0.977,230301_ABA_P2
PPG5,1,30.0,0.4071010847999999,286.81933618893584,288.3654421395688,328.0,401.0,0.00017534558181075727,,,,,,,,,,,,,,230301_ABA_P2
PPG5,2,60.0,0.4092482186,288.9015493083573,287.8648383054886,330.0,402.8614121470301,0.0002860064663449806,,,,,,,,,,,,,,230301_ABA_P2
PPG5,3,90.0,0.4127747117999999,290.9609135188267,287.48298133669306,330.0,404.0,7.786629932026951e-05,,,,,,,,,,,,,,230301_ABA_P2
PPG5,4,120.0,0.4137400751999999,290.5756969148676,285.50703645389603,331.0,405.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG6,0,0.0,0.4373039748,289.7098076298114,250.99441936109773,403.0,407.0,0.00027000712890752767,50.00051408078834,0.0,25.0,0.40391383062319564,95.0,1.0,0.012820018663529695,ExpDel,50.00051408078834,0.0,3382.810320396614,0.4373622013541247,0.984,230301_ABA_P2
PPG6,1,30.0,0.4408605767999999,290.77726070219967,250.7390780636076,404.0,409.86883782855455,0.0003303081459710812,,,,,,,,,,,,,,230301_ABA_P2
PPG6,2,60.0,0.4452508162,292.35959229768275,250.68009066304936,406.0,413.0,0.00038547135361691014,,,,,,,,,,,,,,230301_ABA_P2
PPG6,3,90.0,0.4504295297999999,294.3322796272993,249.96088015441967,407.0,416.0,0.00013619623434669095,,,,,,,,,,,,,,230301_ABA_P2
PPG6,4,120.0,0.4522736938,293.06156483226425,248.62805669903997,407.0,419.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG8,0,0.0,0.3137957954,262.6056240821632,252.23231848824813,341.0,324.0,0.0005413221629287698,50.0000000001,0.0,37.0,0.6776996833485689,95.0,1.0,0.02569011394954586,ExpDel,50.0000000001,0.0,2113.4994495453775,0.3144430194243306,0.989,230301_ABA_P2
PPG8,1,30.0,0.3189331093999999,263.5291990270317,251.85245598223693,341.0,330.0,0.0005856716131836075,,,,,,,,,,,,,,230301_ABA_P2
PPG8,2,60.0,0.3245860366,265.6280341910467,251.57049469469652,341.0,334.0,0.0003967033709186326,,,,,,,,,,,,,,230301_ABA_P2
PPG8,3,90.0,0.3284719536,267.1864297156322,250.49810575036685,341.0,337.0,0.0003588019733816817,,,,,,,,,,,,,,230301_ABA_P2
PPG8,4,120.0,0.3320266738,266.3592179488759,250.4486334844614,343.0,339.9268854814317,,,,,,,,,,,,,,,230301_ABA_P2
PPG9,0,0.0,0.3539571709999999,268.65669628206786,248.36950559520565,313.0,384.0,0.0006952324674337341,50.0000000001,0.0,39.0,0.6019821769864129,95.0,1.0,0.031180482506940443,ExpDel,50.0000000001,0.0,2407.939344947928,0.35618960080209067,0.916,230301_ABA_P2
PPG9,1,30.0,0.3614166262,269.4526782911741,243.67004359546297,314.0,385.0,0.0005948554250679862,,,,,,,,,,,,,,230301_ABA_P2
PPG9,2,60.0,0.3679238905999999,272.3361469353322,239.19913500869404,316.0,392.0,0.00025069779487324223,,,,,,,,,,,,,,230301_ABA_P2
PPG9,3,90.0,0.3707014274,274.97704865222886,233.9535357821647,314.0,393.0,0.00013138702647618448,,,,,,,,,,,,,,230301_ABA_P2
PPG9,4,120.0,0.3721654678,273.5519542180356,232.4449256076564,314.0,393.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG11,0,0.0,0.7255543352,427.1424881401097,357.1996086087634,518.0,601.0,0.00032126896686273217,50.00000060331289,0.0,66.0,0.40413623653335556,95.0,1.0,0.01406925957817702,ExpDel,50.00000060331289,0.0,3596.47494367642,0.7260939729304292,0.998,230301_ABA_P2
PPG11,1,30.0,0.7325809764,428.6297007022349,357.5585277542054,525.0,604.0,0.00028035344934491176,,,,,,,,,,,,,,230301_ABA_P2
PPG11,2,60.0,0.7387683347999999,429.7219597593726,357.7415201131639,523.0,608.0,0.0002572943650820942,,,,,,,,,,,,,,230301_ABA_P2
PPG11,3,90.0,0.7444927704,432.67638913010273,356.1183714481768,525.0,609.0,0.0002636838757473607,,,,,,,,,,,,,,230301_ABA_P2
PPG11,4,120.0,0.750405386,431.7741813428588,355.7949383445142,525.0,612.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG12,0,0.0,0.3409125333999999,256.8234878055678,281.79009912884374,337.0,374.0,0.0006766787878726084,50.000000109131314,0.0,69.0,0.834743519899759,95.0,1.0,0.028741855203799294,ExpDel,50.000000109131314,0.0,1763.4302997559096,0.3413876787337006,0.998,230301_ABA_P2
PPG12,1,30.0,0.3479034204,257.5254813448632,281.7673378515623,339.0,379.0,0.000515989114763254,,,,,,,,,,,,,,230301_ABA_P2
PPG12,2,60.0,0.3533305316,259.36923691628647,281.83519894875434,343.0,382.0,0.0005222841293784273,,,,,,,,,,,,,,230301_ABA_P2
PPG12,3,90.0,0.3589100686,260.00104351241123,280.70098555921106,347.0,385.0,0.0006037799677072635,,,,,,,,,,,,,,230301_ABA_P2
PPG12,4,120.0,0.3654700234,260.1135879923,279.30724621945694,350.0,390.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG13,0,0.0,0.3785466516,254.4305880773281,244.80395745631768,355.0,346.0,0.0006013832935207235,50.000000004676885,0.0,71.0,0.7628133274691009,95.0,1.0,0.026631094767969814,ExpDel,50.000000004676885,0.0,1873.5042464519865,0.3791071166559525,0.996,230301_ABA_P2
PPG13,1,30.0,0.3854378032,254.1735056503712,245.05722197484772,358.0,346.0,0.0005489632130873428,,,,,,,,,,,,,,230301_ABA_P2
PPG13,2,60.0,0.391837805,254.39663905695463,245.49154165886227,362.0,348.0,0.0005630600537555775,,,,,,,,,,,,,,230301_ABA_P2
PPG13,3,90.0,0.3985125496,255.59540191879384,244.9975290452421,366.0,347.5896510061191,0.00040551934927274735,,,,,,,,,,,,,,230301_ABA_P2
PPG13,4,120.0,0.4033901752,254.4662899671674,244.74755026214672,369.0,350.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG14,0,0.0,0.3206248476,214.76237910481947,232.3118115328168,354.0,320.0,0.00023977338988511894,85.76140179391099,1.0,79.0,0.38697903343420564,95.0,1.0,0.009283425311526997,ExpDel,85.76140179391099,1.0,2939.0550738165734,0.3217821546065355,0.961,230301_ABA_P2
PPG14,1,30.0,0.3229394616,216.3995395679119,229.25517852637847,356.0,322.0,0.00015464210501421312,,,,,,,,,,,,,,230301_ABA_P2
PPG14,2,60.0,0.3244411379999999,217.2037208241396,226.12945746380336,358.0,323.94425187540344,0.00034199981730360284,,,,,,,,,,,,,,230301_ABA_P2
PPG14,3,90.0,0.3277869784,221.8114007365172,223.39503119309515,360.0,325.6927555826625,0.00033852644733652526,,,,,,,,,,,,,,230301_ABA_P2
PPG14,4,120.0,0.3311328188,221.2709785758642,222.63664436447613,362.0,328.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG15,0,0.0,0.3942728542,244.9506357329612,240.39872522668924,374.0,408.0,0.00027947126344570714,50.0000000001,0.0,80.0,0.3126760412574199,95.0,1.0,0.011758053991694412,ExpDel,50.0000000001,0.0,4755.140725837179,0.3946892882739035,0.992,230301_ABA_P2
PPG15,1,30.0,0.3975923494,247.0077335534289,239.74521059755685,376.0,413.0,0.00020399864174883197,,,,,,,,,,,,,,230301_ABA_P2
PPG15,2,60.0,0.400033044,248.7403577411322,240.0106233806774,377.0,416.0,0.00016392721181678486,,,,,,,,,,,,,,230301_ABA_P2
PPG15,3,90.0,0.4020051704,251.38821736565703,237.1913514733092,379.0,417.0,0.00022114744203706463,,,,,,,,,,,,,,230301_ABA_P2
PPG15,4,120.0,0.4046810899999999,251.0795825509626,235.6139318437159,379.0,416.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG16,0,0.0,0.4494848662,249.9225462741173,238.3178081658632,383.0,390.0,0.0005569067794014477,50.0000130076467,0.0,79.0,0.6904552801828243,95.0,1.0,0.024102399323450735,ExpDel,50.0000130076467,0.0,2075.366933132857,0.4501241174587908,0.996,230301_ABA_P2
PPG16,1,30.0,0.4570572293999999,250.30127295718847,238.87642340066685,386.0,394.0,0.00047422306678942817,,,,,,,,,,,,,,230301_ABA_P2
PPG16,2,60.0,0.4636058934,251.1683332550841,239.1187646953818,392.0,394.9318981462799,0.0005181030515290675,,,,,,,,,,,,,,230301_ABA_P2
PPG16,3,90.0,0.4708677596,252.60735629749288,237.6713719102229,398.0,397.0,0.0003686984361212353,,,,,,,,,,,,,,230301_ABA_P2
PPG16,4,120.0,0.4761048089999999,251.0326736378248,236.8652407175012,399.0,398.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG17,0,0.0,0.1833230742,277.78463893512094,220.05172600129916,254.0,281.0,0.000318064299055182,50.00001164080924,0.0,81.0,0.396665205538836,95.0,1.0,0.014534602372960061,ExpDel,50.00001164080924,0.0,3586.4608441201503,0.18351845677831494,0.991,230301_ABA_P2
PPG17,1,30.0,0.1850806753999999,278.51895136466976,219.89380721034897,254.0,281.0,0.00032009372467703266,,,,,,,,,,,,,,230301_ABA_P2
PPG17,2,60.0,0.1868665035999999,280.4508072405591,220.06015925744737,256.0,282.0,0.0002694659806280746,,,,,,,,,,,,,,230301_ABA_P2
PPG17,3,90.0,0.1883832344,281.5475798262271,217.965423679962,256.0,282.0,0.0001942237888031442,,,,,,,,,,,,,,230301_ABA_P2
PPG17,4,120.0,0.1894840874,280.63101703989975,216.61099141751964,257.0,285.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG18,0,0.0,0.4362896846,220.2971845824833,294.26469435961224,444.0,390.0,0.00039788931318675356,80.70462020660166,1.0,78.0,0.5749293516062913,95.0,1.0,0.01678830373971998,ExpDel,80.70462020660166,1.0,2207.6158387767923,0.4389091504493171,0.937,230301_ABA_P2
PPG18,1,30.0,0.4415286157999999,220.48778631298637,294.08611649724367,449.0,393.0,0.0002958910160482637,,,,,,,,,,,,,,230301_ABA_P2
PPG18,2,60.0,0.4454653414,221.6047070274288,294.00451231169274,453.0,396.0,0.0002998473136306414,,,,,,,,,,,,,,230301_ABA_P2
PPG18,3,90.0,0.4494905116,222.73514845547027,292.34536899788986,456.0,394.0,0.0006033983338184839,,,,,,,,,,,,,,230301_ABA_P2
PPG18,4,120.0,0.457700805,223.08619416170148,289.04738392033283,457.0,398.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG19,0,0.0,0.3124126724,232.7626926252892,305.4686892631677,382.0,273.9827386360733,0.000641350757427625,50.00000596615973,0.0,77.0,0.7100882490959233,95.0,1.0,0.025407916181205685,ExpDel,50.00000596615973,0.0,2055.602256034311,0.3130660891607801,0.993,230301_ABA_P2
PPG19,1,30.0,0.3184814774,233.1176832142592,306.23358592937905,386.0,275.0,0.00038674355519695996,,,,,,,,,,,,,,230301_ABA_P2
PPG19,2,60.0,0.3221980323999999,234.1801305919656,306.8227249262169,388.0,277.0,0.0005428357783432049,,,,,,,,,,,,,,230301_ABA_P2
PPG19,3,90.0,0.3274877722,235.46498254608645,306.30785100175115,392.0,279.0,0.0004015372676319974,,,,,,,,,,,,,,230301_ABA_P2
PPG19,4,120.0,0.3314564883999999,234.128626976799,304.6404470798668,395.0,281.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG20,0,0.0,0.4694978091999999,244.66740493967052,303.1026610964053,427.0,439.0,0.00045844847104588516,50.000000013142916,0.0,81.0,0.538925195394377,95.0,1.0,0.019586958289292522,ExpDel,50.000000013142916,0.0,2614.224727983159,0.47026789166323446,0.985,230301_ABA_P2
PPG20,1,30.0,0.4759994281999999,244.94016090341597,303.1439975274601,433.0,441.0,0.00038429229021794863,,,,,,,,,,,,,,230301_ABA_P2
PPG20,2,60.0,0.4815187476,245.8884310924439,303.2479702610572,437.0,443.0,0.0004571041667459994,,,,,,,,,,,,,,230301_ABA_P2
PPG20,3,90.0,0.488167147,247.90495517988217,302.0216123782652,442.0,447.0,0.0001971695036412139,,,,,,,,,,,,,,230301_ABA_P2
PPG20,4,120.0,0.4910632371999999,246.49341084897728,300.48076369250845,444.0,447.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG21,0,0.0,0.4697443249999999,318.4958213420839,304.5176867623281,439.0,424.0,0.0003567622059419622,50.0000000001,0.0,9.0,0.4271260361713363,95.0,1.0,0.015865297946921188,ExpDel,50.0000000001,0.0,3361.953312217948,0.4703539042044317,0.992,230301_ABA_P2
PPG21,1,30.0,0.4747988398,319.0875940865474,303.9855848026103,442.0,426.0,0.00032656677998182455,,,,,,,,,,,,,,230301_ABA_P2
PPG21,2,60.0,0.4794732309999999,319.92845672707426,303.02294187579434,445.0,427.0,0.00028061402611667604,,,,,,,,,,,,,,230301_ABA_P2
PPG21,3,90.0,0.4835266282,321.4339232943817,301.71686737469395,450.0,428.0,0.00022251819954658257,,,,,,,,,,,,,,230301_ABA_P2
PPG21,4,120.0,0.486765206,320.69409877776275,300.19753887005766,451.0,430.8668127060247,,,,,,,,,,,,,,,230301_ABA_P2
PPG22,0,0.0,0.2789599137999999,321.87471926627245,254.5237235272773,330.0,318.80553073707955,0.0001896910368907072,61.94296085307104,0.0,11.0,0.5293140195878171,95.0,1.0,0.013960712623364187,ExpDel,61.94296085307104,0.0,2378.9276813672477,0.2789599129906046,0.992,230301_ABA_P2
PPG22,1,30.0,0.2805519166,320.9890405023336,252.54642389788407,332.0,318.0,0.0005609456713915061,,,,,,,,,,,,,,230301_ABA_P2
PPG22,2,60.0,0.2853128706,320.5766372893659,250.6205553590827,334.0,321.0,0.0003727637995622535,,,,,,,,,,,,,,230301_ABA_P2
PPG22,3,90.0,0.2885213396,321.3349034888248,248.63050013482896,337.0,324.0,0.00034691621323280274,,,,,,,,,,,,,,230301_ABA_P2
PPG22,4,120.0,0.2915397467999999,319.8919945701107,247.24219548768068,340.0,326.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG23,0,0.0,0.4243722452,385.859617992422,233.58169626114488,283.0,510.0,0.00026309903332722426,50.00000000959369,0.0,14.0,0.4270102111211884,95.0,1.0,0.0156967606699115,ExpDel,50.00000000959369,0.0,3517.594152556673,0.42453264007821706,0.953,230301_ABA_P2
PPG23,1,30.0,0.4277350218,386.1858347972673,232.95607050115427,284.0,509.7452227099964,0.0004583514472849082,,,,,,,,,,,,,,230301_ABA_P2
PPG23,2,60.0,0.4336570463999999,382.6264248634541,232.3667844059579,285.0,509.0,1.3160169165445133e-05,,,,,,,,,,,,,,230301_ABA_P2
PPG23,3,90.0,0.4338282901999999,389.3592257643672,231.28358102880173,288.0,514.0,0.00045152882555905697,,,,,,,,,,,,,,230301_ABA_P2
PPG23,4,120.0,0.4397446693999999,383.3329697938985,230.2521016275975,287.0,516.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG24,0,0.0,0.3522597873999999,250.888873387136,308.9603679392092,402.0,304.0,0.0005624066560994516,50.0000000001,0.0,20.0,0.6183257231810906,95.0,1.0,0.024715725023296286,ExpDel,50.0000000001,0.0,2301.463820507486,0.35327615235613746,0.979,230301_ABA_P2
PPG24,1,30.0,0.3582533203999999,251.31336555159007,309.06415009651136,406.0,305.0,0.0004910137602205863,,,,,,,,,,,,,,230301_ABA_P2
PPG24,2,60.0,0.3635694054,250.64504909120973,306.8863977909524,408.0,307.0,0.00043776740047793276,,,,,,,,,,,,,,230301_ABA_P2
PPG24,3,90.0,0.3683755225999999,250.76971023079184,302.21806812485715,413.0,308.0,0.00022638363648283668,,,,,,,,,,,,,,230301_ABA_P2
PPG24,4,120.0,0.3708858437999999,252.8184916656469,306.49878625385713,415.0,310.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG25,0,0.0,0.2094085858,219.2795053668881,216.28461821792257,269.0,281.0,0.00034330456087957115,50.00139910535559,0.0,21.0,0.4565208076670305,95.0,1.0,0.015461823158106153,ExpDel,50.00139910535559,0.0,3175.6538361234675,0.2095238376759402,0.999,230301_ABA_P2
PPG25,1,30.0,0.2115764194,219.42537375564592,216.58012769267796,272.0,283.0,0.0003277698924936734,,,,,,,,,,,,,,230301_ABA_P2
PPG25,2,60.0,0.2136670992,219.8953692797088,216.05353056077243,273.0,284.9322554902868,0.00028705169630668123,,,,,,,,,,,,,,230301_ABA_P2
PPG25,3,90.0,0.2155150267999999,221.02168985134523,214.3279635737035,274.0,286.0,0.00030998720495071434,,,,,,,,,,,,,,230301_ABA_P2
PPG25,4,120.0,0.2175285528,220.7855029258352,213.1994267810672,275.0,288.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG26,0,0.0,0.3774589712,277.31983599566786,266.05386197192365,306.0,406.5746447660712,0.0005743604379626922,50.0000000001,0.0,23.0,0.5165170667908034,95.0,1.0,0.02356615112443183,ExpDel,50.0000000001,0.0,2826.672150769422,0.3790063116707795,0.959,230301_ABA_P2
PPG26,1,30.0,0.384018926,271.87320974641034,263.8286133920719,312.0,411.0,0.0003740791467826307,,,,,,,,,,,,,,230301_ABA_P2
PPG26,2,60.0,0.3883527114,267.1470792342034,262.02669509890734,317.0,416.0,0.00031268949454261503,,,,,,,,,,,,,,230301_ABA_P2
PPG26,3,90.0,0.3920128124,266.07745152247554,259.8421573133551,322.0,419.0,0.0001736405506865162,,,,,,,,,,,,,,230301_ABA_P2
PPG26,4,120.0,0.3940602108,263.7343546966538,257.99686037249535,324.0,420.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG28,0,0.0,0.3188973552,270.1845403405849,259.5546016698334,343.0,337.0,0.0008625765218446154,50.0000000001,0.0,33.0,0.9382039374300379,95.0,1.0,0.03482907874238815,ExpDel,50.0000000001,0.0,1570.961433415616,0.3199260098452681,0.993,230301_ABA_P2
PPG28,1,30.0,0.3272563107999999,270.84146770130565,259.9042667089817,349.0,339.0,0.0005358320801894708,,,,,,,,,,,,,,230301_ABA_P2
PPG28,2,60.0,0.3325592232,271.8407599621576,259.10293505696137,351.0,341.0,0.0006365443628804291,,,,,,,,,,,,,,230301_ABA_P2
PPG28,3,90.0,0.3389705158,273.0646519360131,257.44140137673173,356.0,343.0,0.0005711690835022571,,,,,,,,,,,,,,230301_ABA_P2
PPG28,4,120.0,0.3448285591999999,272.26322782297973,256.18889451172754,363.0,345.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG29,0,0.0,0.3006363679999999,229.13304982281736,274.91893118046687,401.0,265.0,0.0004966343541509279,50.00002513037721,0.0,37.0,0.7082064924961986,95.0,1.0,0.023336366156378567,ExpDel,50.00002513037721,0.0,2016.705426019279,0.30076326612041804,0.999,230301_ABA_P2
PPG29,1,30.0,0.3051489243999999,229.271954619062,275.43545032103,406.0,267.0,0.000542581741211188,,,,,,,,,,,,,,230301_ABA_P2
PPG29,2,60.0,0.3101563941999999,229.6458136272853,274.57542611219174,408.0,269.0,0.0004866820405501853,,,,,,,,,,,,,,230301_ABA_P2
PPG29,3,90.0,0.3147178774,230.54610312354,273.9975928300457,413.0,271.0,0.0004413421210215838,,,,,,,,,,,,,,230301_ABA_P2
PPG29,4,120.0,0.3189124096,230.45151760020303,271.69108646643525,417.0,272.861146696681,,,,,,,,,,,,,,,230301_ABA_P2
PPG30,0,0.0,0.268871584,265.2013740851796,256.8670840093398,322.0,323.0,0.00043943283491397917,50.0000000001,0.0,38.0,0.4507580890900319,95.0,1.0,0.018574978003520013,ExpDel,50.0000000001,0.0,3211.8543687711967,0.2695296416275323,0.979,230301_ABA_P2
PPG30,1,30.0,0.2724394768,264.8836625416914,256.58883560087065,326.0,322.0,0.00033082598113020326,,,,,,,,,,,,,,230301_ABA_P2
PPG30,2,60.0,0.275156796,265.22192069785183,255.07709308421715,327.0,327.0,0.00028849760512926037,,,,,,,,,,,,,,230301_ABA_P2
PPG30,3,90.0,0.2775485638,265.8518868644103,252.81676873861647,328.0,328.0,0.00019334938185442343,,,,,,,,,,,,,,230301_ABA_P2
PPG30,4,120.0,0.2791631482,265.35570277043234,251.23154180785335,328.0,327.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG31,0,0.0,0.3003898522,262.6912025628842,248.1770886924717,349.0,327.0,0.00047542828554055904,50.0000000001,0.0,43.0,0.5921228387764612,95.0,1.0,0.020622863908545785,ExpDel,50.0000000001,0.0,2397.334497592275,0.3007616542012455,0.993,230301_ABA_P2
PPG31,1,30.0,0.3047048196,264.3006650119112,248.4276906361244,350.0,328.0,0.0004161228522690279,,,,,,,,,,,,,,230301_ABA_P2
PPG31,2,60.0,0.3085324008,265.48329495087944,247.1780966635373,353.0,329.0,0.0004739939617891499,,,,,,,,,,,,,,230301_ABA_P2
PPG31,3,90.0,0.3129508672,267.56158093687384,245.895811282369,356.0,331.0,0.00027924056366921074,,,,,,,,,,,,,,230301_ABA_P2
PPG31,4,120.0,0.3155835053999999,267.8876964360511,243.6518699864628,358.0,332.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG32,0,0.0,0.4284275241999999,254.8769589580927,249.74548132610576,400.0,394.0,0.0002723835911634509,50.00000001377744,0.0,51.0,0.3951679185446257,95.0,1.0,0.014012353774245674,ExpDel,50.00000001377744,0.0,3652.7904391886145,0.42864940427845344,0.991,230301_ABA_P2
PPG32,1,30.0,0.4319427266,255.40489491324547,250.26620183207783,402.0,395.9798554569445,0.0003639670517660861,,,,,,,,,,,,,,230301_ABA_P2
PPG32,2,60.0,0.4366848626,255.88001009730823,249.89859516010856,404.0,396.0,0.0001810727802136536,,,,,,,,,,,,,,230301_ABA_P2
PPG32,3,90.0,0.4390634578,256.98748003306,248.4312799293913,407.0,397.8467061966827,0.0002802652394807697,,,,,,,,,,,,,,230301_ABA_P2
PPG32,4,120.0,0.4427706038,257.557131563844,248.09153810866653,409.0,399.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG33,0,0.0,0.2506425874,264.20371680312314,248.8669413915732,347.0,297.0,0.0006461741621864199,50.0000000001,0.0,52.0,0.5038250592255724,95.0,1.0,0.026735639260321725,ExpDel,50.0000000001,0.0,2943.7259308528387,0.2521161990853082,0.913,230301_ABA_P2
PPG33,1,30.0,0.25554844,263.7784883015503,251.09962074521832,352.0,300.0,0.0004105789804597292,,,,,,,,,,,,,,230301_ABA_P2
PPG33,2,60.0,0.2587155094,263.2634556889386,252.16657246915605,352.0,301.70166530950627,0.00021316305046628045,,,,,,,,,,,,,,230301_ABA_P2
PPG33,3,90.0,0.2603752569999999,263.8138275640798,253.17648381267315,356.0,301.0,0.00012959786029193826,,,,,,,,,,,,,,230301_ABA_P2
PPG33,4,120.0,0.2613895472,263.611179120277,253.84820963394543,358.0,300.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG34,0,0.0,0.4542608746,237.87720336392857,296.51960036177246,438.0,334.9355138340363,0.00036953873349262014,50.00000000027545,0.0,59.0,0.41719790306541704,95.0,1.0,0.016197369596853164,ExpDel,50.00000000027545,0.0,3496.7313290148927,0.4549946279007974,0.99,230301_ABA_P2
PPG34,1,30.0,0.4593247983999999,239.31140893258384,297.1640452602911,442.0,335.0,0.00031330481806750375,,,,,,,,,,,,,,230301_ABA_P2
PPG34,2,60.0,0.4636623473999999,240.61035634846664,296.7691633281898,445.0,337.0,0.0002345709550082913,,,,,,,,,,,,,,230301_ABA_P2
PPG34,3,90.0,0.4669366793999999,242.73899118243943,295.42677680691304,447.0,337.0,0.00024146855750218756,,,,,,,,,,,,,,230301_ABA_P2
PPG34,4,120.0,0.4703314466,243.6565292432037,293.2654793575722,450.0,337.0,,,,,,,,,,,,,,,230301_ABA_P2
PPG35,0,0.0,0.576037798,323.4488756804478,271.8782535796887,442.0,465.0,0.0005230490958725749,50.000002844117226,0.0,74.0,0.6692334250814671,95.0,1.0,0.02317734754546733,ExpDel,50.000002844117226,0.0,2158.094005577157,0.5766944284465148,0.998,230301_ABA_P2
PPG35,1,30.0,0.5851475918,323.504568337719,272.7817012445786,445.0,468.0,0.0004728204123130294,,,,,,,,,,,,,,230301_ABA_P2
PPG35,2,60.0,0.5935065474,323.6321281905641,272.83393693610736,448.0,473.0,0.00044983895099512584,,,,,,,,,,,,,,230301_ABA_P2
PPG35,3,90.0,0.6015700603999999,324.5622185800166,271.4687044117977,450.0,477.0,0.0004132732771566785,,,,,,,,,,,,,,230301_ABA_P2
PPG35,4,120.0,0.6090746788,324.43559885064207,270.2864478602679,453.0,480.0,,,,,,,,,,,,,,,230301_ABA_P2
