Ind,Img,Time (min),Area,Xcenter,Ycenter,Xlength,Ylength,AreaNorm,GR_Full,tdeb_flat,tdebShift_flat,GrowthAtStart_flat,ChipRow,GR_end,tdeb_GR,CaracT_GR,tdebShift_GR,GrowthAtStart_GR,fit_name,tdeb,tdebShift,Tau,A0fit,fitR2,Expe
PPG3,21,630.0,0.3011218724,561.0825775290884,334.5724904010326,311.0,355.0,1.1960296283008571,0.0005612266574659649,,,,,,,,,,,,,,,,220722_ABA
PPG3,22,660.0,0.3058752992,558.0114822817873,337.8221024222471,312.0,359.0,1.2149098220358618,0.000525173424207535,,,,,,,,,,,,,,,,220722_ABA
PPG3,23,690.0,0.3115620987999999,556.0907433033161,336.2711229781685,314.0,364.0,1.2374972905501862,0.0005068759549717418,,,,,,,,,,,,,,,,220722_ABA
PPG3,24,720.0,0.317130345,552.4432122868984,338.43827500241696,315.0,368.0,1.2596138753727828,0.0005177469654533163,,,,,,,,,,,,,,,,220722_ABA
PPG3,25,750.0,0.3226835368,549.0702544716736,340.04605913903595,316.0,373.0,1.281670665440874,0.0005584367435061629,,,,,,,,,,,,,,,,220722_ABA
PPG3,26,780.0,0.3273202919999999,541.6828420676491,335.5961453804895,311.0,380.0,1.3000874498284636,0.000627634002280783,,,,,,,,,,,,,,,,220722_ABA
PPG3,27,810.0,0.3294805983999999,533.9087924193448,330.26097783912303,306.0,386.0,1.308667997099954,0.0007265854255465072,,,,,,,,,,,,,,,,220722_ABA
PPG3,28,840.0,0.3337955657999999,527.6457288683023,326.6323222127654,303.0,393.0,1.325806668609996,0.0008310443186850622,,,,,,,,,,,,,,,,220722_ABA
PPG3,29,870.0,0.3461514646,522.6182305904956,339.4552944161901,311.0,398.0,1.374883213370107,0.0008903583921377489,,,,,,,,,,,,,,,,220722_ABA
PPG3,30,900.0,0.3603421183999999,515.2358598752115,360.5868874258605,319.0,404.0,1.431247243835534,0.0008900002223728444,,,,,,,,,,,,,,,,220722_ABA
PPG3,31,930.0,0.3691018973999999,510.5713730897312,372.140393631269,330.0,407.5634043661015,1.4660403166132248,0.0008572658905943021,,,,,,,,,,,,,,,,220722_ABA
PPG3,32,960.0,0.3793577073999999,507.9140044773424,375.9917538251731,340.0,411.8712745289174,1.5067754931198658,0.0008002791170957134,,,,,,,,,,,,,,,,220722_ABA
PPG3,33,990.0,0.3869056071999999,503.30429491768354,381.30454415803285,347.0,414.0,1.5367550881598908,0.0007386951527543356,,,,,,,,,,,,,,,,220722_ABA
PPG3,34,1020.0,0.3940639744,499.3680678390808,384.1604492954093,350.0,420.0,1.565187493927095,0.0006830787413201851,,,,,,,,,,,,,,,,220722_ABA
PPG3,35,1050.0,0.4020635062,496.729500851304,386.0071002517313,354.0,423.0,1.596960931602275,0.0006413055532852993,,,,,,,,,,,,,,,,220722_ABA
PPG3,36,1080.0,0.4106746229999999,495.7182877666368,383.6942352159411,358.0,429.0,1.631163531179227,0.0006197145681379505,,,,,,,,,,,,,,,,220722_ABA
PPG3,37,1110.0,0.4181698323999999,495.5794788713627,382.97129369798654,362.0,434.0,1.660933844578484,0.0006212800714932539,,,,,,,,,,,,,,,,220722_ABA
PPG3,38,1140.0,0.4256612782,490.6779559418638,387.5551641339091,366.0,438.0,1.6906892092891148,0.0006327846870422296,,,,,,,,,,,,,,,,220722_ABA
PPG3,39,1170.0,0.4340164702,484.6353399109903,397.2325488422782,375.0,440.0,1.7238752980394794,0.0006342482918018425,,,,,,,,,,,,,,,,220722_ABA
PPG3,40,1200.0,0.4430114742,482.7129164324035,398.1569602872536,379.0,445.9595689014326,1.759602663856313,0.0006234932364079355,,,,,,,,,,,,,,,,220722_ABA
PPG3,41,1230.0,0.4515153283999999,480.6721327260336,400.95983579554456,385.0,448.0,1.7933792258074155,0.0006061187289792966,,,,,,,,,,,,,,,,220722_ABA
PPG3,42,1260.0,0.45887693,476.7391165855023,406.4572116412378,390.0,451.0,1.82261886076044,0.000588005676230186,,,,,,,,,,,,,,,,220722_ABA
PPG3,43,1290.0,0.4673939568,475.576254476417,403.432343587658,394.0,456.0,1.8564477431217343,0.0005711985105318348,,,,,,,,,,,,,,,,220722_ABA
PPG3,44,1320.0,0.4766486492,474.5319112942183,405.3994279591427,399.0,460.0,1.8932065684537824,0.0005518685605372576,,,,,,,,,,,,,,,,220722_ABA
PPG3,45,1350.0,0.484158913,470.8606951247614,410.2051751035062,401.0,463.90565837709215,1.9230366766075444,0.0005356747109437917,,,,,,,,,,,,,,,,220722_ABA
PPG3,46,1380.0,0.4912871714,467.1231090583354,410.20890715963617,406.0,469.0,1.9513494928657384,0.0005248350415238319,,,,,,,,,,,,,,,,220722_ABA
PPG3,47,1410.0,0.4990891141999999,466.8886417323829,409.4493395745767,410.0,472.8901489809453,1.9823381243880376,0.0005222236256297282,,,,,,,,,,,,,,,,220722_ABA
PPG3,48,1440.0,0.5063697984,464.97664311107417,410.3684851641534,414.0,477.0,2.011256362535596,0.0005272442281324605,,,,,,,,,,,,,,,,220722_ABA
PPG3,49,1470.0,0.514474711,461.1653101720266,413.8876379254254,418.0,481.50292800405225,2.0434483634923124,0.0005329092093773589,,,,,,,,,,,,,,,,220722_ABA
PPG3,50,1500.0,0.5234339608,458.3961341846742,416.44406309081455,422.0,485.0,2.0790337167671966,0.0005345557318075224,,,,,,,,,,,,,,,,220722_ABA
PPG3,51,1530.0,0.5333002382,457.8548839052811,415.0840500108856,428.0,490.0,2.1182217040010167,0.0005302854627354268,,,,,,,,,,,,,,,,220722_ABA
PPG3,52,1560.0,0.5399053561999999,456.0887905815394,416.53078721290746,431.0,493.0,2.144456652540155,0.0005282934086718256,,,,,,,,,,,,,,,,220722_ABA
PPG3,53,1590.0,0.5482850116,453.22522352799353,418.6443631233408,435.0,498.0,2.177739907766591,0.0005219648394365138,,,,,,,,,,,,,,,,220722_ABA
PPG3,54,1620.0,0.5577391747999999,450.08020305480346,421.3308759155319,440.0,503.0,2.215291013595832,0.0005072662202966909,,,,,,,,,,,,,,,,220722_ABA
PPG3,55,1650.0,0.5667529968,448.2694749533935,423.1740677854075,444.0,508.0,2.251093122855797,0.000489947639539607,,,,,,,,,,,,,,,,220722_ABA
PPG3,56,1680.0,0.5756783742,447.559741285433,422.2284414494664,450.0,512.0,2.286543937933045,0.00047091893421147377,,,,,,,,,,,,,,,,220722_ABA
PPG3,57,1710.0,0.582727597,446.37266310336713,424.0661747160013,454.0,516.0,2.314542831730086,0.00045481884364576274,,,,,,,,,,,,,,,,220722_ABA
PPG3,58,1740.0,0.5904730858,444.48739059053605,424.558875214591,458.0,520.0,2.345307232922992,0.0004421034903911908,,,,,,,,,,,,,,,,220722_ABA
PPG3,59,1770.0,0.5987774692,443.0776903064931,424.9345312551203,462.0,524.8923333418361,2.378291514376901,0.00042907219866932704,,,,,,,,,,,,,,,,220722_ABA
PPG3,60,1800.0,0.6065925846,441.1204945481692,426.3348778619191,466.0,528.0,2.409332466309393,0.00041613834455239766,,,,,,,,,,,,,,,,220722_ABA
PPG3,61,1830.0,0.6140746213999999,439.083075595145,427.6088823172821,469.0,532.0,2.439050459298457,0.00040293980090247953,,,,,,,,,,,,,,,,220722_ABA
PPG3,62,1860.0,0.6215152585999999,437.74683988478006,428.9635348448819,473.0,536.0,2.468604016712633,0.000391790927284014,,,,,,,,,,,,,,,,220722_ABA
PPG3,63,1890.0,0.6286039992,436.3690337021044,430.4326717246895,476.0,541.0,2.4967598717402515,0.00037792446787357443,,,,,,,,,,,,,,,,220722_ABA
PPG3,64,1920.0,0.6365075592,435.3937479416457,431.5628962189053,480.0,545.0,2.528152117855461,0.00035969494717675524,,,,,,,,,,,,,,,,220722_ABA
PPG3,65,1950.0,0.6429301426,434.3259510914691,432.4242912315137,482.0,549.0,2.553662054996225,0.00034085174421354445,,,,,,,,,,,,,,,,220722_ABA
PPG3,66,1980.0,0.6498871572,433.59093221876327,433.9882148111385,485.0,552.0,2.581294705921923,0.00032048064951076467,,,,,,,,,,,,,,,,220722_ABA
PPG3,67,2010.0,0.656456521,432.58979007687947,434.0258722761408,488.0,556.0,2.607387641919112,0.00030029334582416545,,,,,,,,,,,,,,,,220722_ABA
PPG3,68,2040.0,0.6617349699999999,431.31252018657176,434.34709231956265,491.0,558.0,2.628353177717484,0.00028226661373533836,,,,,,,,,,,,,,,,220722_ABA
PPG3,69,2070.0,0.6674387058,430.08303017367547,435.4176253194898,494.0,561.0,2.651007915330627,0.00026571710545154046,,,,,,,,,,,,,,,,220722_ABA
PPG3,70,2100.0,0.6724725208,428.7282195480834,436.6051356500037,496.0,563.6478194717247,2.6710017863682904,0.00025145802874038174,,,,,,,,,,,,,,,,220722_ABA
PPG3,71,2130.0,0.6779692585999999,428.064032319887,438.2488373273642,499.0,566.0,2.692834346106987,0.0002365132840505845,,,,,,,,,,,,,,,,220722_ABA
PPG3,72,2160.0,0.6827283308,427.7294296413736,439.48402804000216,502.0,568.0,2.7117369628749315,0.00022200501307332172,,,,,,,,,,,,,,,,220722_ABA
PPG3,73,2190.0,0.6877903728,427.26928990450295,440.60368008586977,504.0,571.0,2.731842949077292,0.00020797530279198834,,,,,,,,,,,,,,,,220722_ABA
PPG3,74,2220.0,0.6914636464,427.1312747373878,441.4154867245007,506.0,572.0,2.746432869176551,0.00019531394649217944,,,,,,,,,,,,,,,,220722_ABA
PPG3,75,2250.0,0.6954869347999999,426.93543922904337,442.4317002266275,507.0,574.0,2.762413017318055,0.0001829781919206683,,,,,,,,,,,,,,,,220722_ABA
PPG3,76,2280.0,0.6995328047999999,426.6222916994205,443.4175619048666,509.0,576.0,2.778482857591317,0.00017140593437231776,,,,,,,,,,,,,,,,220722_ABA
PPG3,77,2310.0,0.7035805566,426.4624000280476,442.1595305421346,510.0,578.592198805484,2.7945601722088926,0.0001583465347230994,,,,,,,,,,,,,,,,220722_ABA
PPG3,78,2340.0,0.7064653559999999,425.8716653641109,443.08286568895306,511.0,579.0,2.806018342040944,0.00014782795327832233,,,,,,,,,,,,,,,,220722_ABA
PPG3,79,2370.0,0.7090923487999999,424.2528062358312,444.223756137682,513.0,581.0,2.8164525267020943,0.00014074193541091217,,,,,,,,,,,,,,,,220722_ABA
PPG3,80,2400.0,0.7123779715999999,423.4316819758036,445.2931012858003,514.0,582.0,2.829502731872846,0.00013343378365227623,,,,,,,,,,,,,,,,220722_ABA
PPG3,81,2430.0,0.7160738267999999,422.95412959331935,445.1575407669813,515.0,583.0,2.8441823441038627,0.0001232166944067808,,,,,,,,,,,,,,,,220722_ABA
PPG3,82,2460.0,0.7184655945999999,423.78761362102784,444.75400485432704,517.0,584.9596928289026,2.8536822357258704,0.00011532282687173587,,,,,,,,,,,,,,,,220722_ABA
PPG3,83,2490.0,0.7201479238,422.2687665735879,446.9714904844386,518.0,585.0,2.8603642995418226,0.00010918779805488636,,,,,,,,,,,,,,,,220722_ABA
PPG3,84,2520.0,0.7228577158,422.4329108396263,444.1391546103774,517.0,586.0,2.871127355352752,0.000103961600578116,,,,,,,,,,,,,,,,220722_ABA
PPG3,85,2550.0,0.7255919712,422.7909440790076,443.6859985469536,520.0,587.0,2.881987577639751,9.798903027017082e-05,,,,,,,,,,,,,,,,220722_ABA
PPG3,86,2580.0,0.7267172875999999,421.5677235957194,447.4397412767611,520.0,587.9047091011632,2.8864572355390115,9.577419322675268e-05,,,,,,,,,,,,,,,,220722_ABA
PPG3,87,2610.0,0.7303943248,420.8774397842917,445.438709557219,521.0,589.0,2.901062104326898,9.063387289515921e-05,,,,,,,,,,,,,,,,220722_ABA
PPG3,88,2640.0,0.7316701851999999,421.8709649740583,444.14737205663823,523.0,589.0,2.9061297097712098,8.923253671501464e-05,,,,,,,,,,,,,,,,220722_ABA
PPG3,89,2670.0,0.732500059,420.82402884883095,448.94808084665607,522.0,589.0,2.9094258956133072,9.243046291018458e-05,,,,,,,,,,,,,,,,220722_ABA
PPG3,90,2700.0,0.735652074,420.7476659205725,445.4438932814006,525.0,590.0,2.921945422337825,9.702391612115929e-05,,,,,,,,,,,,,,,,220722_ABA
PPG3,91,2730.0,0.7382263764,421.2823486610818,445.4459221999399,526.0,591.7516309958069,2.932170325358208,0.00010182493447823392,,,,,,,,,,,,,,,,220722_ABA
PPG3,92,2760.0,0.7391672764,419.7647570220232,450.1111434126061,526.0,593.0,2.9359074975147803,0.00010987431579321967,,,,,,,,,,,,,,,,220722_ABA
PPG3,93,2790.0,0.7423550456,420.6202718141257,446.9729494562364,528.0,593.0,2.948569036781248,0.00011787327791954228,,,,,,,,,,,,,,,,220722_ABA
PPG3,94,2820.0,0.7447355225999999,420.71927823555023,448.2763758611521,528.0,594.0,2.958024082337376,0.00012578065125829556,,,,,,,,,,,,,,,,220722_ABA
PPG3,95,2850.0,0.7477012394,420.5231967045624,448.17724746971805,529.0,595.0,2.9698036489748936,0.00013301291091742413,,,,,,,,,,,,,,,,220722_ABA
PPG3,96,2880.0,0.7498935364,419.110836405398,451.0708394542078,531.0,597.0,2.978511260099708,0.00013984272455484195,,,,,,,,,,,,,,,,220722_ABA
PPG3,97,2910.0,0.7546187362,419.0276097789297,450.1584269780925,533.0,598.6407264502363,2.997279338670015,0.00013999513984694475,,,,,,,,,,,,,,,,220722_ABA
PPG3,98,2940.0,0.7576258526,419.85995012146606,449.8370292314252,534.0,600.0,3.009223340882421,0.00013788132520685764,,,,,,,,,,,,,,,,220722_ABA
PPG3,99,2970.0,0.7603902168,419.03533061646806,450.7538744084245,537.0,601.0,3.0202031526784308,0.00013551036047320303,,,,,,,,,,,,,,,,220722_ABA
PPG3,100,3000.0,0.7619596379999999,417.5609033263085,453.3612997086749,536.0,602.9250508111638,3.0264367558355936,0.00013369726689375447,,,,,,,,,,,,,,,,220722_ABA
PPG3,101,3030.0,0.76645714,416.9332711599628,455.1151814997898,539.0,605.0,3.0443004387440107,0.00012903566174553717,,,,,,,,,,,,,,,,220722_ABA
PPG3,102,3060.0,0.7704013927999999,417.9282873757928,453.1727557202736,540.0,606.0,3.0599666644243624,0.00012318166673457837,,,,,,,,,,,,,,,,220722_ABA
PPG3,103,3090.0,0.7724375004,417.0693097438914,453.96422822328384,541.0,607.0,3.0680539049711864,0.00011668307088517516,,,,,,,,,,,,,,,,220722_ABA
PPG3,104,3120.0,0.774774696,416.86148586378187,454.1892176488895,542.0,608.0,3.0773370406081124,0.00011131729680030543,,,,,,,,,,,,,,,,220722_ABA
PPG3,105,3150.0,0.7768371488,415.813955968876,455.9414204989752,543.0,609.0,3.0855289219753192,0.00010690154632579112,,,,,,,,,,,,,,,,220722_ABA
PPG3,106,3180.0,0.7799082463999999,415.564188565689,457.240762628969,544.0,611.0,3.097727051894372,0.00010349456054123846,,,,,,,,,,,,,,,,220722_ABA
PPG3,107,3210.0,0.7822755508,415.37147867264287,458.95918811696777,545.0,613.0,3.107129777040309,0.00010139334555764554,,,,,,,,,,,,,,,,220722_ABA
PPG3,108,3240.0,0.7859751696,415.638190894159,457.8096858565839,546.0,614.0,3.121824337959952,0.0001008920275940164,,,,,,,,,,,,,,,,220722_ABA
PPG3,109,3270.0,0.787241621,415.6726164756584,459.2542537310787,547.0,614.0,3.1268545716826988,0.00010228214479983013,,,,,,,,,,,,,,,,220722_ABA
PPG3,110,3300.0,0.7891441208,414.6016696521984,460.8072622775966,548.0,616.0,3.1344111337832885,,,,,,,,,,,,,,,,,220722_ABA
PPG4,0,0.0,0.2588961622,254.77597054949183,230.02747756148483,312.0,289.0,1.0,3.5232351128721684e-05,215.46987617334983,6.0,0.010768580037820809,0.0,0.2932971744050002,105.0,,2.0,0.0023182993066415995,ExpDel,215.46987617334983,6.0,2599.6374309209345,0.25993300583765117,0.986,220722_ABA
PPG4,1,30.0,0.2591577323999999,245.0916159512194,262.38922120406284,312.0,289.0,1.0010103286111978,2.6172054447777747e-05,,,,,,,,,,,,,,,,220722_ABA
PPG4,2,60.0,0.2595322106,240.16676142907,276.8252786523018,312.0,289.0,1.0024567702919776,3.157381406699117e-05,,,,,,,,,,,,,,,,220722_ABA
PPG4,3,90.0,0.2599349158,237.81276699106692,283.4816143124385,312.0,289.0,1.004012240240153,4.946617301073794e-05,,,,,,,,,,,,,,,,220722_ABA
PPG4,4,120.0,0.2594964564,235.92094416482013,288.6254945026528,312.0,289.7248295655214,1.0023186678199436,7.78443486049684e-05,,,,,,,,,,,,,,,,220722_ABA
PPG4,5,150.0,0.260855116,235.9035490678609,292.10128836530663,313.0,290.0,1.007566561757245,0.00011465797844712177,,,,,,,,,,,,,,,,220722_ABA
PPG4,6,180.0,0.2615777272,235.63246397450447,296.8000841769775,313.0,290.0,1.0103576854025689,0.00015822069785319514,,,,,,,,,,,,,,,,220722_ABA
PPG4,7,210.0,0.2631113941999999,236.67536726881443,295.197693019985,314.0,291.0,1.016281554597722,0.00020585428909526183,,,,,,,,,,,,,,,,220722_ABA
PPG4,8,240.0,0.2637756696,234.9262665354755,298.4903158979291,315.0,292.0,1.0188473531570952,0.00025629111188021854,,,,,,,,,,,,,,,,220722_ABA
PPG4,9,270.0,0.2663763172,233.961057545812,299.62573163642594,316.0,292.0,1.028892490859797,0.00030300138171602945,,,,,,,,,,,,,,,,220722_ABA
PPG4,10,300.0,0.2686909312,233.80135069319493,302.5178620230871,317.0,294.98357205224823,1.0378328087862243,0.00034302622440628,,,,,,,,,,,,,,,,220722_ABA
PPG4,11,330.0,0.2717620287999999,233.0893798819089,305.0977996390627,319.0,296.0,1.0496950842788504,0.0003739348424283855,,,,,,,,,,,,,,,,220722_ABA
PPG4,12,360.0,0.2749272163999999,232.98644050889447,307.44465602212574,322.0,297.671611249868,1.0619207873294614,0.00039807154845028823,,,,,,,,,,,,,,,,220722_ABA
PPG4,13,390.0,0.2785835538,234.02037009487728,306.23500063659594,323.0,299.0,1.0760435822327534,0.0004151618370821533,,,,,,,,,,,,,,,,220722_ABA
PPG4,14,420.0,0.2817393324,233.30448252981992,308.5006827741586,326.0,301.0,1.088232942527566,0.00043127064141129255,,,,,,,,,,,,,,,,220722_ABA
PPG4,15,450.0,0.2849365105999999,231.67731134295215,309.9137711374164,328.0,302.0,1.1005822109478915,0.0004475479022752479,,,,,,,,,,,,,,,,220722_ABA
PPG4,16,480.0,0.2890011986,229.9831194911121,311.14856426814293,331.0,303.0,1.116282281452838,0.0004613147554566429,,,,,,,,,,,,,,,,220722_ABA
PPG4,17,510.0,0.2929172244,228.32073742079984,312.84225026142553,334.0,304.0,1.131408136416168,0.00047177852611795227,,,,,,,,,,,,,,,,220722_ABA
PPG4,18,540.0,0.297314991,226.16342476240916,313.9895364356005,338.0,306.0,1.1483947404763808,0.0004771873430402624,,,,,,,,,,,,,,,,220722_ABA
PPG4,19,570.0,0.3014511874,224.53740910687887,314.6346932953043,341.0,308.0,1.1643710159253955,0.00047827567197744923,,,,,,,,,,,,,,,,220722_ABA
PPG4,20,600.0,0.3062478956,224.83854531855152,316.7750738133217,344.0,309.0,1.182898552831464,0.00047634105613924015,,,,,,,,,,,,,,,,220722_ABA
PPG4,21,630.0,0.3105666265999999,225.9518698520207,315.05655893974847,346.0,311.0,1.1995798777429694,0.00047334501879918797,,,,,,,,,,,,,,,,220722_ABA
PPG4,22,660.0,0.3147573951999999,224.46515962077933,317.24141760440926,349.0,314.0,1.2157669411756151,0.00047030985605750047,,,,,,,,,,,,,,,,220722_ABA
PPG4,23,690.0,0.3194581316,225.77876171001935,313.3844515517221,352.0,315.0,1.2339237819725393,0.00047012681332227516,,,,,,,,,,,,,,,,220722_ABA
PPG4,24,720.0,0.3237825079999999,224.03757620967,316.0232209428307,353.0,317.0,1.2506269125375238,0.00046949444809091365,,,,,,,,,,,,,,,,220722_ABA
PPG4,25,750.0,0.3273146466,222.1638664458733,318.7715826861969,356.0,319.0,1.2642699830642756,0.000462419150692049,,,,,,,,,,,,,,,,220722_ABA
PPG4,26,780.0,0.3322581351999999,221.82697388587343,318.2911618115716,358.0,321.0,1.2833644669608006,0.00043267796335465925,,,,,,,,,,,,,,,,220722_ABA
PPG4,27,810.0,0.337105652,221.32190012224277,320.2968125648108,362.0,321.67061427004467,1.302088254748181,0.0003817161666947939,,,,,,,,,,,,,,,,220722_ABA
PPG4,28,840.0,0.3420340862,220.82679308654744,321.8386394729099,365.0,324.0,1.3211245902354285,0.0003157959985375625,,,,,,,,,,,,,,,,220722_ABA
PPG4,29,870.0,0.3453103,222.5489379946941,325.08054100513914,366.0,325.0,1.3337791378044614,0.00024762041107845653,,,,,,,,,,,,,,,,220722_ABA
PPG4,30,900.0,0.348104773,224.8575187981781,327.5692157289069,369.0,324.0,1.344572936276612,0.0001815293845906282,,,,,,,,,,,,,,,,220722_ABA
PPG4,31,930.0,0.35020298,228.64387650512307,328.4915301950458,371.0,321.0,1.3526773708196744,0.0001274233115809314,,,,,,,,,,,,,,,,220722_ABA
PPG4,32,960.0,0.3511382346,232.2952712544933,327.7900088542517,374.0,319.0,1.356289840746044,9.521324999931957e-05,,,,,,,,,,,,,,,,220722_ABA
PPG4,33,990.0,0.3494577872,234.5912236308231,330.5243514593101,377.0,315.0,1.3497990245604343,9.63272459832933e-05,,,,,,,,,,,,,,,,220722_ABA
PPG4,34,1020.0,0.3503836327999999,235.42956080285208,332.073539243033,378.0,314.0,1.3533751517310053,0.00011953874880347206,,,,,,,,,,,,,,,,220722_ABA
PPG4,35,1050.0,0.3526737833999999,236.0359662278739,333.8320142980457,382.0,312.0,1.362220978492357,0.00015154846853530508,,,,,,,,,,,,,,,,220722_ABA
PPG4,36,1080.0,0.3561513497999999,237.5306169629612,331.89606043693544,384.0,313.0,1.3756532610354777,0.00017387106382257388,,,,,,,,,,,,,,,,220722_ABA
PPG4,37,1110.0,0.3579973956,239.95928819350277,331.962883880691,386.0,312.85646319705864,1.3827837097231408,0.0001889730681445866,,,,,,,,,,,,,,,,220722_ABA
PPG4,38,1140.0,0.3585506448,239.90575203978597,334.5663294236323,387.0,312.0,1.3849206637640918,0.00019995851219944112,,,,,,,,,,,,,,,,220722_ABA
PPG4,39,1170.0,0.360308246,240.49583732758984,337.6384568039656,389.0,311.0,1.3917094905472491,0.00020405138087672224,,,,,,,,,,,,,,,,220722_ABA
PPG4,40,1200.0,0.3633548801999999,242.1730462377882,336.11949472833646,392.0,312.0,1.403477274874799,0.0001915046146705658,,,,,,,,,,,,,,,,220722_ABA
PPG4,41,1230.0,0.3659423552,242.97954135327976,336.4305534346128,393.0,312.0,1.4134715327193832,0.00016958260741094407,,,,,,,,,,,,,,,,220722_ABA
PPG4,42,1260.0,0.3680010444,241.66730376646797,340.02382571329133,395.0,313.0,1.421423327688092,0.00014609742821833122,,,,,,,,,,,,,,,,220722_ABA
PPG4,43,1290.0,0.36949143,243.71709118667115,336.2190899525433,397.0,312.98125650551526,1.4271800202065723,0.00012878506030032901,,,,,,,,,,,,,,,,220722_ABA
PPG4,44,1320.0,0.370121833,245.12757670402425,337.1413280390224,399.0,311.9046852327264,1.4296149848450708,0.00011478990505767251,,,,,,,,,,,,,,,,220722_ABA
PPG4,45,1350.0,0.3711831681999999,244.1642874794616,341.9885970226377,399.0,311.0,1.43371444769914,0.00010159851052429706,,,,,,,,,,,,,,,,220722_ABA
PPG4,46,1380.0,0.373123304,244.46913336691816,341.95930642881024,402.0,311.0,1.441208323944788,8.55995547252152e-05,,,,,,,,,,,,,,,,220722_ABA
PPG4,47,1410.0,0.3739776411999999,247.45170705291216,341.31258151086445,402.0,311.0,1.4445082461712904,7.262615810344828e-05,,,,,,,,,,,,,,,,220722_ABA
PPG4,48,1440.0,0.3743333014,248.4975376785613,342.68512823267315,404.0,309.0,1.4458820023404737,6.148132787542435e-05,,,,,,,,,,,,,,,,220722_ABA
